age	sex	marst	healthins	educ	hrswork	incwage	inctotal	uscit	cow	typehealthins
52	0	0	0	16	25	0	7000	1	3	0
52	1	0	0	21	20	0	5200	1	3	0
52	0	0	0	21	40	0	10000	1	3	0
53	1	0	0	16	60	0	9600	1	3	0
53	0	0	0	16	25	0	7000	1	3	0
53	0	0	0	17	60	0	6000	1	3	0
53	1	1	0	20	65	0	4800	1	3	0
54	0	1	0	17	40	0	305000	1	3	0
55	1	1	0	16	25	0	24000	1	3	0
55	0	0	0	17	30	0	39000	1	3	0
55	1	1	0	19	40	0	13700	1	3	0
56	0	0	0	16	40	0	7000	1	3	0
56	0	0	0	16	20	0	18000	1	3	0
56	0	0	0	20	30	0	25000	1	3	0
57	0	1	0	12	10	0	1800	1	3	0
57	1	0	0	16	70	0	1800	1	3	0
57	0	0	0	16	25	0	820	1	3	0
57	0	1	0	18	50	0	42000	1	3	0
57	0	0	0	20	25	0	22500	1	3	0
58	1	1	0	16	70	0	35000	1	3	0
58	0	1	0	16	45	0	26400	1	3	0
58	0	1	0	16	50	0	12400	1	3	0
58	0	0	0	18	30	0	6000	1	3	0
59	0	1	0	18	30	0	30000	1	3	0
59	0	0	0	20	70	0	52000	1	3	0
60	0	1	0	16	50	0	18000	1	3	0
60	1	1	0	16	45	0	16000	1	3	0
60	0	1	0	16	50	0	100000	1	3	0
61	1	1	0	13	50	0	50000	1	3	0
61	1	0	0	16	40	0	20000	1	3	0
62	0	1	0	14	25	0	7000	1	3	0
63	1	0	0	16	31	0	25000	1	3	0
63	1	0	0	19	35	0	16000	1	3	0
63	0	0	0	21	75	0	133000	1	3	0
63	0	0	0	21	36	0	15050	1	3	0
64	0	1	0	14	40	0	17000	1	3	0
64	0	1	0	19	25	0	17500	1	3	0
64	1	1	0	21	10	0	23300	1	3	0
66	0	0	0	18	30	0	45000	1	3	0
71	0	1	0	12	40	0	38000	1	3	0
38	0	0	0	13	50	0	60000	0	3	0
44	0	1	0	20	40	0	33400	0	3	0
27	0	1	0	11	45	0	50000	1	3	0
39	0	0	0	16	40	0	17000	1	3	0
42	0	0	0	17	20	0	600	1	3	0
50	0	1	0	11	60	0	60000	1	3	0
50	0	0	0	16	20	0	9600	1	3	0
51	1	0	0	19	40	0	18000	1	3	0
55	0	0	0	16	70	0	305000	1	3	0
55	0	0	0	16	50	0	22000	1	3	0
58	0	1	0	16	37	0	45000	1	3	0
58	0	0	0	16	72	0	80000	1	3	0
59	1	1	0	16	18	0	24000	1	3	0
61	0	1	0	16	35	0	19000	1	3	0
63	1	1	0	18	20	0	15100	1	3	0
64	1	1	0	16	10	0	1800	1	3	0
69	0	1	0	21	20	0	33500	1	3	0
37	0	0	0	16	30	0	17500	1	3	0
56	0	0	0	15	25	0	11800	1	3	0
56	0	1	0	17	40	0	8000	1	3	0
34	0	1	1	21	40	0	15000	0	3	2
26	1	1	1	19	10	0	40000	1	3	2
67	1	0	1	23	60	0	305000	1	3	2
70	1	1	1	22	60	0	74500	1	3	2
18	1	0	1	18	20	0	3000	1	3	2
18	0	0	1	18	4	0	500	1	3	2
18	1	0	1	18	2	0	1300	1	3	2
20	1	0	1	16	24	0	12000	1	3	2
23	0	1	1	17	40	0	10000	1	3	2
26	1	0	1	21	20	0	2600	1	3	2
27	0	0	1	19	55	0	15200	1	3	2
28	0	1	1	16	40	0	30000	1	3	2
28	0	1	1	20	15	0	5100	1	3	2
29	0	1	1	17	42	0	25000	1	3	2
31	1	0	1	19	40	0	37000	1	3	2
31	1	1	1	20	25	0	5800	1	3	2
32	0	1	1	15	45	0	30000	1	3	2
32	1	0	1	20	35	0	1300	1	3	2
33	0	1	1	16	46	0	15600	1	3	2
34	0	1	1	16	64	0	900	1	3	2
34	1	0	1	17	25	0	25100	1	3	2
34	1	0	1	20	40	0	36504	1	3	2
36	0	0	1	13	40	0	24000	1	3	2
36	0	0	1	20	40	0	12000	1	3	2
36	0	0	1	21	50	0	9000	1	3	2
37	0	1	1	19	99	0	20000	1	3	2
38	1	1	1	16	15	0	14400	1	3	2
38	0	0	1	18	60	0	98000	1	3	2
38	1	1	1	19	20	0	18900	1	3	2
38	1	0	1	21	40	0	20500	1	3	2
38	0	0	1	22	13	0	19000	1	3	2
40	0	1	1	20	40	0	24000	1	3	2
41	1	1	1	16	30	0	14000	1	3	2
41	0	1	1	19	40	0	29000	1	3	2
42	0	1	1	12	40	0	-7100	1	3	2
42	1	1	1	17	20	0	7300	1	3	2
42	1	0	1	18	35	0	32000	1	3	2
42	0	1	1	19	70	0	24000	1	3	2
42	0	1	1	20	20	0	26000	1	3	2
43	0	1	1	19	30	0	27000	1	3	2
44	0	1	1	16	30	0	9000	1	3	2
44	1	0	1	16	20	0	3000	1	3	2
44	0	1	1	17	45	0	29400	1	3	2
44	1	0	1	18	30	0	14500	1	3	2
44	0	1	1	20	60	0	38000	1	3	2
45	0	1	1	19	45	0	22800	1	3	2
46	0	1	1	16	20	0	58500	1	3	2
47	1	1	1	18	30	0	2000	1	3	2
48	0	0	1	18	30	0	25020	1	3	2
50	1	0	1	16	40	0	21001	1	3	2
51	1	1	1	13	50	0	4500	1	3	2
51	0	0	1	15	42	0	5000	1	3	2
51	0	1	1	16	30	0	35000	1	3	2
51	0	0	1	16	40	0	45000	1	3	2
52	0	0	1	20	40	0	12000	1	3	2
53	0	1	1	16	60	0	14700	1	3	2
53	0	1	1	19	40	0	30000	1	3	2
53	1	1	1	19	10	0	7200	1	3	2
53	1	0	1	21	35	0	9000	1	3	2
54	0	1	1	16	35	0	38000	1	3	2
54	0	0	1	16	45	0	5000	1	3	2
54	1	1	1	19	30	0	2000	1	3	2
55	0	1	1	13	40	0	11000	1	3	2
55	1	0	1	18	20	0	13900	1	3	2
55	1	0	1	20	2	0	9250	1	3	2
56	0	1	1	11	40	0	25000	1	3	2
56	0	1	1	15	40	0	10000	1	3	2
56	0	0	1	16	12	0	1000	1	3	2
56	1	0	1	17	37	0	23000	1	3	2
56	1	1	1	18	24	0	2500	1	3	2
56	1	1	1	20	32	0	7800	1	3	2
57	1	0	1	16	60	0	18500	1	3	2
58	0	0	1	23	40	0	71000	1	3	2
59	0	1	1	16	40	0	45000	1	3	2
59	0	0	1	16	84	0	21700	1	3	2
59	0	0	1	17	99	0	48800	1	3	2
61	0	0	1	16	25	0	34000	1	3	2
61	0	0	1	22	30	0	36000	1	3	2
62	0	1	1	19	20	0	41000	1	3	2
63	0	0	1	16	40	0	30400	1	3	2
63	1	0	1	18	24	0	9700	1	3	2
63	1	1	1	19	20	0	10000	1	3	2
64	0	0	1	16	30	0	52000	1	3	2
64	1	0	1	19	32	0	61000	1	3	2
64	1	0	1	21	30	0	18400	1	3	2
65	0	1	1	16	40	0	23400	1	3	2
65	0	1	1	16	40	0	35000	1	3	2
65	0	1	1	17	12	0	32900	1	3	2
65	0	0	1	19	30	0	50600	1	3	2
65	0	1	1	20	49	0	35000	1	3	2
65	0	1	1	21	50	0	305050	1	3	2
65	1	0	1	21	30	0	49300	1	3	2
66	0	1	1	16	20	0	14700	1	3	2
66	1	1	1	16	36	0	27000	1	3	2
66	1	1	1	16	40	0	12000	1	3	2
66	1	0	1	17	6	0	10400	1	3	2
66	0	1	1	21	42	0	121000	1	3	2
67	1	1	1	17	6	0	10400	1	3	2
67	0	1	1	19	24	0	321000	1	3	2
67	1	0	1	19	5	0	23000	1	3	2
67	1	1	1	21	25	0	56300	1	3	2
67	0	1	1	22	50	0	149000	1	3	2
67	0	1	1	22	25	0	77100	1	3	2
67	0	1	1	23	28	0	305000	1	3	2
68	0	1	1	16	80	0	277200	1	3	2
68	0	1	1	16	8	0	42200	1	3	2
68	0	0	1	16	8	0	44900	1	3	2
68	0	1	1	20	40	0	47000	1	3	2
69	1	1	1	19	45	0	44300	1	3	2
69	0	1	1	23	65	0	139310	1	3	2
70	0	1	1	11	21	0	42800	1	3	2
70	0	1	1	16	25	0	48000	1	3	2
70	1	0	1	16	39	0	15000	1	3	2
70	0	0	1	17	25	0	30900	1	3	2
70	0	1	1	19	12	0	22000	1	3	2
71	0	1	1	24	20	0	74000	1	3	2
72	0	1	1	14	30	0	24000	1	3	2
72	0	1	1	16	40	0	96900	1	3	2
74	0	1	1	16	40	0	329000	1	3	2
74	0	1	1	19	55	0	143000	1	3	2
75	0	0	1	19	20	0	20800	1	3	2
28	0	0	1	17	20	0	2000	1	3	2
33	0	0	1	16	25	0	6300	1	3	2
45	0	1	1	20	80	0	45000	1	3	2
55	0	1	1	12	10	0	2400	1	3	2
61	0	1	1	16	25	0	12000	1	3	2
61	0	0	1	18	5	0	1400	1	3	2
61	0	0	1	19	35	0	12000	1	3	2
66	1	1	1	16	15	0	21100	1	3	2
67	0	1	1	21	60	0	35600	1	3	2
68	1	0	1	16	40	0	107000	1	3	2
68	0	0	1	16	74	0	45000	1	3	2
70	1	1	1	18	30	0	8200	1	3	2
74	0	1	1	18	30	0	25000	1	3	2
30	0	0	1	19	40	0	2500	1	3	2
52	1	0	1	16	15	0	500	1	3	2
74	0	1	1	22	40	0	58800	1	3	2
42	1	0	1	19	20	0	3000	1	3	2
65	0	1	1	9	99	0	22100	1	3	2
66	1	1	1	17	30	0	22500	1	3	2
31	0	1	1	16	40	0	23000	0	3	1
33	1	1	1	24	45	0	39000	0	3	1
43	0	0	1	20	20	0	5000	0	3	1
49	0	1	1	19	25	0	400	0	3	1
52	1	1	1	22	26	0	10000	0	3	1
35	0	1	1	13	45	0	32000	1	3	1
39	0	1	1	18	40	0	50000	1	3	1
48	0	0	1	20	30	0	9000	1	3	1
55	0	1	1	21	45	0	48800	1	3	1
56	0	0	1	23	60	0	305000	1	3	1
60	0	1	1	21	24	0	28000	1	3	1
18	0	0	1	14	15	0	6000	1	3	1
18	1	0	1	18	20	0	500	1	3	1
19	1	1	1	19	32	0	4000	1	3	1
21	0	0	1	16	36	0	12000	1	3	1
21	0	0	1	17	40	0	2500	1	3	1
22	0	0	1	16	10	0	1000	1	3	1
22	1	0	1	19	15	0	1500	1	3	1
23	1	1	1	16	25	0	15000	1	3	1
23	0	0	1	19	35	0	12000	1	3	1
24	1	1	1	16	30	0	7000	1	3	1
24	1	0	1	16	12	0	6000	1	3	1
24	0	0	1	16	36	0	5000	1	3	1
24	1	1	1	21	40	0	20000	1	3	1
25	0	1	1	19	50	0	40000	1	3	1
25	1	0	1	21	50	0	50150	1	3	1
25	0	0	1	21	55	0	24000	1	3	1
26	1	0	1	16	40	0	15000	1	3	1
26	0	0	1	18	50	0	25000	1	3	1
26	0	1	1	19	40	0	30000	1	3	1
26	0	1	1	21	65	0	35000	1	3	1
27	1	1	1	16	30	0	18000	1	3	1
27	0	1	1	17	15	0	50000	1	3	1
28	0	1	1	16	80	0	27000	1	3	1
28	0	0	1	16	30	0	400	1	3	1
28	1	1	1	21	40	0	25000	1	3	1
29	0	1	1	16	70	0	65000	1	3	1
29	0	1	1	16	60	0	305000	1	3	1
29	1	1	1	16	20	0	4000	1	3	1
29	1	1	1	20	55	0	20000	1	3	1
29	0	0	1	20	35	0	85000	1	3	1
30	0	0	1	14	54	0	28000	1	3	1
30	0	1	1	15	60	0	146000	1	3	1
30	0	1	1	16	40	0	890	1	3	1
30	0	1	1	16	60	0	18000	1	3	1
30	1	0	1	19	50	0	19000	1	3	1
30	0	1	1	21	55	0	48000	1	3	1
30	0	1	1	21	40	0	305000	1	3	1
30	0	0	1	21	74	0	40000	1	3	1
31	0	1	1	11	35	0	25000	1	3	1
31	0	1	1	16	40	0	35000	1	3	1
31	1	0	1	17	2	0	12000	1	3	1
31	0	1	1	18	40	0	30000	1	3	1
31	1	1	1	19	25	0	11000	1	3	1
31	0	1	1	19	65	0	105000	1	3	1
32	1	1	1	16	40	0	20000	1	3	1
32	0	1	1	16	45	0	890	1	3	1
32	0	0	1	16	35	0	10000	1	3	1
32	1	0	1	18	25	0	10000	1	3	1
32	0	1	1	19	40	0	40000	1	3	1
32	0	1	1	19	40	0	65000	1	3	1
32	1	0	1	19	30	0	16500	1	3	1
32	1	1	1	21	20	0	50000	1	3	1
32	1	1	1	22	2	0	-1200	1	3	1
33	0	1	1	16	40	0	15000	1	3	1
33	1	1	1	16	35	0	45000	1	3	1
33	0	1	1	17	55	0	45000	1	3	1
33	1	1	1	18	5	0	2800	1	3	1
33	0	0	1	19	40	0	10000	1	3	1
33	1	1	1	20	4	0	5000	1	3	1
33	1	0	1	21	45	0	38000	1	3	1
34	1	1	1	17	20	0	9000	1	3	1
34	0	0	1	17	70	0	25000	1	3	1
34	1	1	1	18	25	0	28000	1	3	1
34	1	1	1	21	20	0	22500	1	3	1
34	1	1	1	23	2	0	740	1	3	1
35	0	1	1	16	50	0	20000	1	3	1
35	0	0	1	17	15	0	12000	1	3	1
35	1	0	1	18	35	0	17400	1	3	1
35	0	1	1	19	50	0	55000	1	3	1
35	0	0	1	19	60	0	15000	1	3	1
35	0	1	1	21	40	0	-7100	1	3	1
35	0	1	1	23	60	0	305000	1	3	1
35	0	1	1	23	50	0	305000	1	3	1
36	1	1	1	12	45	0	6800	1	3	1
36	0	0	1	16	30	0	22000	1	3	1
36	0	1	1	19	70	0	30000	1	3	1
36	1	1	1	19	10	0	2000	1	3	1
36	0	1	1	21	40	0	70000	1	3	1
36	1	1	1	22	25	0	25000	1	3	1
36	0	1	1	23	50	0	-7100	1	3	1
37	0	1	1	14	45	0	20000	1	3	1
37	1	1	1	16	48	0	7500	1	3	1
37	0	1	1	16	75	0	305000	1	3	1
37	0	1	1	16	60	0	305000	1	3	1
37	0	1	1	19	5	0	100	1	3	1
37	0	1	1	19	40	0	88000	1	3	1
37	1	1	1	19	40	0	5800	1	3	1
37	0	0	1	19	55	0	305000	1	3	1
37	0	1	1	20	65	0	45000	1	3	1
37	0	1	1	21	50	0	70000	1	3	1
38	0	1	1	16	40	0	43400	1	3	1
38	1	1	1	16	36	0	30000	1	3	1
38	0	1	1	16	40	0	50000	1	3	1
38	1	1	1	16	20	0	18000	1	3	1
38	1	1	1	16	16	0	10000	1	3	1
38	0	1	1	17	40	0	27000	1	3	1
38	1	1	1	18	40	0	10000	1	3	1
38	1	1	1	18	50	0	28000	1	3	1
38	1	1	1	18	30	0	24000	1	3	1
38	0	1	1	19	50	0	26000	1	3	1
38	1	1	1	20	30	0	32000	1	3	1
38	0	1	1	21	60	0	100000	1	3	1
38	0	1	1	21	40	0	40000	1	3	1
39	1	1	1	16	15	0	17000	1	3	1
39	0	1	1	16	50	0	305000	1	3	1
39	0	1	1	19	45	0	70000	1	3	1
39	0	1	1	19	50	0	-7100	1	3	1
39	0	1	1	20	50	0	56000	1	3	1
39	1	1	1	20	20	0	7000	1	3	1
39	1	1	1	21	40	0	10000	1	3	1
40	0	0	1	14	35	0	10000	1	3	1
40	0	1	1	16	40	0	50000	1	3	1
40	1	1	1	18	40	0	100000	1	3	1
40	0	1	1	21	60	0	32000	1	3	1
41	1	1	1	13	40	0	10000	1	3	1
41	1	1	1	15	30	0	15400	1	3	1
41	0	1	1	16	50	0	20000	1	3	1
41	1	1	1	16	3	0	2500	1	3	1
41	0	0	1	16	35	0	17000	1	3	1
41	0	0	1	16	50	0	15000	1	3	1
41	1	1	1	20	25	0	12400	1	3	1
41	1	1	1	21	10	0	10000	1	3	1
41	1	1	1	21	50	0	36600	1	3	1
41	0	1	1	22	50	0	9000	1	3	1
41	1	1	1	22	45	0	21000	1	3	1
41	0	1	1	23	45	0	120000	1	3	1
42	1	1	1	12	5	0	4800	1	3	1
42	0	1	1	16	50	0	64000	1	3	1
42	0	0	1	16	40	0	35000	1	3	1
42	0	0	1	16	40	0	34000	1	3	1
42	1	1	1	17	40	0	100000	1	3	1
42	1	1	1	19	45	0	75000	1	3	1
42	0	1	1	19	50	0	10000	1	3	1
42	1	1	1	20	40	0	30000	1	3	1
42	0	0	1	24	60	0	60000	1	3	1
43	0	1	1	16	99	0	20000	1	3	1
43	0	0	1	16	45	0	56000	1	3	1
43	0	0	1	16	80	0	15000	1	3	1
43	1	1	1	19	40	0	22000	1	3	1
43	0	0	1	19	40	0	37000	1	3	1
43	0	1	1	20	30	0	30000	1	3	1
43	0	1	1	21	60	0	23500	1	3	1
43	0	1	1	21	40	0	6000	1	3	1
43	0	1	1	23	70	0	305200	1	3	1
44	0	1	1	16	40	0	10000	1	3	1
44	0	1	1	16	45	0	60000	1	3	1
44	1	1	1	16	25	0	4850	1	3	1
44	0	1	1	19	40	0	10200	1	3	1
44	0	1	1	20	50	0	19700	1	3	1
44	1	0	1	20	30	0	24000	1	3	1
44	0	1	1	21	60	0	42000	1	3	1
45	0	1	1	16	50	0	66000	1	3	1
45	0	1	1	16	56	0	90000	1	3	1
45	1	1	1	16	40	0	20000	1	3	1
45	0	1	1	16	99	0	-7100	1	3	1
45	1	1	1	18	40	0	28000	1	3	1
45	0	1	1	19	40	0	65000	1	3	1
45	0	1	1	21	60	0	20	1	3	1
45	0	1	1	21	65	0	75100	1	3	1
45	1	0	1	21	80	0	20000	1	3	1
45	1	0	1	21	40	0	20800	1	3	1
46	0	1	1	14	50	0	80000	1	3	1
46	0	1	1	16	35	0	38000	1	3	1
46	1	1	1	16	43	0	11000	1	3	1
46	1	1	1	16	50	0	4800	1	3	1
46	0	0	1	16	40	0	37900	1	3	1
46	1	1	1	18	50	0	38900	1	3	1
46	1	1	1	18	40	0	50000	1	3	1
46	0	1	1	19	60	0	70000	1	3	1
46	1	1	1	19	35	0	34000	1	3	1
46	0	1	1	19	40	0	60000	1	3	1
46	0	1	1	20	13	0	12000	1	3	1
46	0	0	1	21	50	0	65000	1	3	1
47	0	1	1	14	50	0	80000	1	3	1
47	1	1	1	16	40	0	12000	1	3	1
47	0	0	1	16	24	0	9000	1	3	1
47	0	0	1	16	40	0	78000	1	3	1
47	1	1	1	17	30	0	7500	1	3	1
47	0	1	1	19	40	0	60000	1	3	1
47	1	1	1	19	60	0	29000	1	3	1
47	1	1	1	19	20	0	1200	1	3	1
47	0	1	1	19	50	0	55100	1	3	1
47	0	0	1	19	20	0	2700	1	3	1
47	1	1	1	21	20	0	21000	1	3	1
47	0	1	1	21	45	0	134000	1	3	1
47	0	1	1	21	48	0	79000	1	3	1
47	0	1	1	22	50	0	7500	1	3	1
48	1	1	1	16	40	0	5000	1	3	1
48	1	1	1	16	30	0	18000	1	3	1
48	1	1	1	16	55	0	51000	1	3	1
48	0	1	1	18	40	0	48000	1	3	1
48	1	0	1	19	80	0	12000	1	3	1
48	0	1	1	21	60	0	45000	1	3	1
48	1	0	1	21	40	0	30000	1	3	1
49	0	1	1	16	45	0	22000	1	3	1
49	0	1	1	16	65	0	50000	1	3	1
49	0	1	1	16	40	0	40000	1	3	1
49	0	1	1	16	40	0	25000	1	3	1
49	0	1	1	16	40	0	25000	1	3	1
49	1	1	1	19	40	0	41100	1	3	1
49	0	0	1	19	50	0	60000	1	3	1
49	1	1	1	20	35	0	40	1	3	1
49	0	1	1	21	40	0	50000	1	3	1
49	0	1	1	21	40	0	97000	1	3	1
49	0	1	1	21	50	0	75060	1	3	1
49	0	0	1	23	30	0	23050	1	3	1
50	0	0	1	12	40	0	6000	1	3	1
50	1	1	1	16	35	0	20000	1	3	1
50	1	1	1	16	10	0	9600	1	3	1
50	0	1	1	16	70	0	120000	1	3	1
50	0	0	1	16	25	0	12500	1	3	1
50	1	0	1	16	40	0	16000	1	3	1
50	1	0	1	19	40	0	30000	1	3	1
50	1	1	1	20	35	0	40	1	3	1
50	0	1	1	20	48	0	33000	1	3	1
50	1	1	1	20	65	0	2000	1	3	1
50	0	1	1	22	25	0	27000	1	3	1
50	1	1	1	22	35	0	-11400	1	3	1
50	1	1	1	23	32	0	55000	1	3	1
50	0	1	1	23	50	0	306000	1	3	1
50	0	1	1	23	55	0	305000	1	3	1
51	0	1	1	16	40	0	45000	1	3	1
51	1	1	1	16	15	0	4800	1	3	1
51	1	1	1	16	40	0	25500	1	3	1
51	1	1	1	16	40	0	19000	1	3	1
51	1	1	1	18	12	0	8600	1	3	1
51	0	0	1	19	20	0	14000	1	3	1
51	0	0	1	19	60	0	40000	1	3	1
51	1	0	1	20	40	0	30000	1	3	1
51	1	1	1	21	40	0	30000	1	3	1
51	1	0	1	21	36	0	50750	1	3	1
51	0	1	1	23	60	0	305000	1	3	1
51	0	1	1	23	50	0	45000	1	3	1
51	0	1	1	23	45	0	95000	1	3	1
52	0	1	1	14	40	0	28000	1	3	1
52	1	1	1	16	40	0	38000	1	3	1
52	0	1	1	16	43	0	25000	1	3	1
52	1	1	1	16	30	0	20000	1	3	1
52	1	1	1	18	35	0	12000	1	3	1
52	1	1	1	19	40	0	35000	1	3	1
52	0	1	1	20	30	0	31200	1	3	1
52	0	1	1	20	40	0	74000	1	3	1
52	1	1	1	21	40	0	50000	1	3	1
52	0	1	1	21	40	0	-7100	1	3	1
53	0	1	1	16	50	0	100000	1	3	1
53	1	1	1	16	25	0	50000	1	3	1
53	0	1	1	16	40	0	10000	1	3	1
53	1	1	1	16	4	0	7200	1	3	1
53	0	1	1	16	50	0	40000	1	3	1
53	0	1	1	16	50	0	70750	1	3	1
53	0	1	1	16	40	0	10000	1	3	1
53	1	1	1	18	40	0	500	1	3	1
53	1	1	1	21	20	0	12000	1	3	1
53	0	1	1	22	50	0	16001	1	3	1
53	0	1	1	24	50	0	31000	1	3	1
54	0	1	1	10	35	0	20000	1	3	1
54	0	1	1	16	25	0	30000	1	3	1
54	1	1	1	16	30	0	20000	1	3	1
54	0	1	1	16	65	0	80000	1	3	1
54	0	1	1	16	60	0	26000	1	3	1
54	0	1	1	16	35	0	2900	1	3	1
54	0	1	1	16	40	0	71500	1	3	1
54	0	0	1	16	30	0	4000	1	3	1
54	0	1	1	18	30	0	31200	1	3	1
54	0	1	1	19	40	0	19800	1	3	1
54	1	1	1	19	23	0	7200	1	3	1
54	0	1	1	19	40	0	24000	1	3	1
54	1	1	1	21	60	0	-7100	1	3	1
54	1	1	1	21	50	0	12300	1	3	1
54	0	0	1	21	15	0	16000	1	3	1
54	1	0	1	21	40	0	170	1	3	1
54	0	0	1	21	40	0	19000	1	3	1
54	0	1	1	23	48	0	305000	1	3	1
54	1	0	1	23	46	0	48000	1	3	1
55	0	1	1	12	40	0	25000	1	3	1
55	0	1	1	16	50	0	110000	1	3	1
55	0	1	1	16	40	0	66300	1	3	1
55	0	1	1	16	50	0	27100	1	3	1
55	0	0	1	17	50	0	25500	1	3	1
55	1	1	1	19	40	0	10000	1	3	1
55	0	1	1	23	36	0	307000	1	3	1
55	0	1	1	24	40	0	125000	1	3	1
56	0	1	1	13	45	0	62000	1	3	1
56	0	1	1	14	30	0	7000	1	3	1
56	0	1	1	16	40	0	40000	1	3	1
56	0	1	1	16	40	0	20000	1	3	1
56	0	1	1	16	50	0	54000	1	3	1
56	0	1	1	16	50	0	305000	1	3	1
56	1	1	1	16	25	0	20000	1	3	1
56	0	1	1	16	60	0	305200	1	3	1
56	0	1	1	16	50	0	50000	1	3	1
56	1	0	1	16	48	0	40000	1	3	1
56	0	1	1	17	32	0	24000	1	3	1
56	1	1	1	17	16	0	11200	1	3	1
56	0	1	1	18	25	0	30000	1	3	1
56	0	1	1	18	40	0	26100	1	3	1
56	1	1	1	19	20	0	18800	1	3	1
56	0	1	1	19	32	0	15400	1	3	1
56	1	1	1	21	40	0	36001	1	3	1
56	1	1	1	21	45	0	78500	1	3	1
56	0	0	1	21	55	0	50000	1	3	1
56	0	1	1	23	70	0	305000	1	3	1
56	1	0	1	23	55	0	305000	1	3	1
